"Name","Phone","Email","Website","Rating","ReviewCount","Address"
"Reformed Roofing & Contracting","(972) 946-1775","","http://www.reformed-roofing.com/","5","70","5639 Dyer St Suite 200, Dallas, TX 75206"
"White Rock Roofing","(972) 362-9647","","https://roofwhiterock.com/get-a-quote","5","208","3500 Oak Lawn Ave #460, Dallas, TX 75219"
"A1 Roofing & Construction","(469) 779-0606","","http://a1roofingdallas.com/","4.9","63","10920 Switzer Ave #100, Dallas, TX 75238"
"Allbright Services, LLC","(469) 367-0990","adam@myallbright.com","http://www.myallbright.com/","4.6","9","2702 Industrial Ln suite k, Garland, TX 75041"
"JUST ROOF GENERAL CONTRACTORS LLC","(469) 797-6747","","https://roofremodelingsolution.com/","4.7","74","8330 Lyndon B Johnson Fwy Suite #678, Dallas, TX 75243"
"Bold Roofing - DFW's Best Roofing Contractor","(972) 380-9300","","https://www.boldroofing.com/","4.7","606","10720 Miller Rd #303, Dallas, TX 75238"
"Myers Pro Roofing","(214) 498-5939","","http://www.myersproroofing.net/","4.6","10","1901 Platinum St, Garland, TX 75042"
"S & J Roofing and Construction","(214) 675-0328","","https://sandjroof.com/contact-us/","0","0","2671 Beechmont Dr, Dallas, TX 75228"
"Peacock Roofing, LLC","(972) 362-4166","","https://www.peacockroofing.com/?utm_source=GMB&utm_medium=organic&utm_campaign=garland","4.9","35","1209 N.W.Hwy Suite 326, Garland, TX 75041"
"Specialty Contractors Inc.","(214) 389-5130","","http://www.callspecialty.com/","4.5","52","11999 S Plano Rd # 180, Dallas, TX 75243"
"4H Construction TX LLC","(214) 753-7929","","https://4hconstuctiontx.com/","5","13","15330 Lyndon B Johnson Fwy #203, Mesquite, TX 75150"
"Tice Enterprises Ltd","(214) 319-0040","","http://www.ticeenterprises.net/","4.5","8","6909 Lakewood Blvd, Dallas, TX 75214"
"Samuel Roofing and Remodeling","(469) 301-9998","","","4.7","12","1531 Flores Dr, Garland, TX 75041"
"Dallas Roof Doctors","(972) 999-4396","","http://dallasroofdoctors.com/","5","11","12700 Hillcrest Rd #117, Dallas, TX 75230"
"Lifetime Quality Roofing Dallas Fort Worth","(214) 833-7663","","https://lifetimequalityroofing.com/dallas-roofing/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=5243975492538226309","5","7","8330 Lyndon B Johnson Fwy STE B255, Dallas, TX 75243"
"Fetch Roofing","(972) 928-0691","","https://fetchroofing.com/","5","121","4111 US-80 Suite 107, Mesquite, TX 75150"
"E&D Premier Roofing & Solar LLC","(469) 363-0187","","http://edpremierroofing.com/?utm_source=gmb&utm_medium=referral","4.9","180","3738 Dividend Dr, Garland, TX 75042"
"Ready Roofing & Solar","(972) 736-9468","","https://readyrooftx.com/","4.9","184","13140 Coit Rd #510, Dallas, TX 75240"
"Lone Star Roofing & General Contractors","(972) 469-1102","","http://lonestarroofinggc.com/","4.9","40","4849 Greenville Ave suite 144, Dallas, TX 75206"
"Home Quality Solutions Roofing","(972) 743-0331","","https://homequalitysolutions.com/","4.8","146","3839 McKinney Ave Suite 155-2417, Dallas, TX 75204"
"Eagle's Landing General Contracting","(972) 210-5148","","https://www.el-gc.com/","5","24","2734 W Kingsley Rd Suite L1, Garland, TX 75041"
"New View Roofing","(469) 232-7220","info@newviewroofing.com","https://newviewroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","4.9","687","4722 Gaston Ave, Dallas, TX 75246"
"S&J Roofing and Construction","(214) 675-0328","","https://sandjroof.com/","5","5",""
"Sali's Roofing","(469) 677-0239","office@salisroofing.com","https://salisroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing&utm_content=salis_roofing","5","110","10930 Switzer Ave #123, Dallas, TX 75238"
"Sky Armour Roofing LLC","(682) 551-1027","","https://www.skyarmourroofing.com/","5","1","102 N Shiloh Rd #202, Garland, TX 75042"
"Best Roofing Install","(469) 218-9786","","http://frugelloyd.shop/","4.8","36","10652 Wood Dale Dr, Dallas, TX 75228"
"R & G Construction","(469) 274-2078","","https://www.constructionrg.com/","5","11",""
"Pillar Roofing","(214) 293-3904","steve1@pillartx.com","https://www.pillartx.com/","4.7","40","1750 N Collins Blvd Suite 106, Richardson, TX 75080"
"Elm Creek General Construction & Roofing","(469) 831-1435","","http://www.elmcreekconstruction.com/","4.9","15","10555 Plano Rd, Dallas, TX 75238"
"Wilco Roofing Contractors","(469) 309-6535","","http://www.wilcoroofing.com/about-us.html","5","15","10850 Switzer Ave #105, Dallas, TX 75238"
"Horn Brothers Roofing Dallas, TX","(214) 328-6956","service@hornbros.com","http://www.hornbros.com/","5","25","12035 Shiloh Rd #320, Dallas, TX 75228"
"Hometown Roofing, Inc","(469) 583-5228","","http://www.hometownroofinginc.net/","4.7","44","100 N Cottonwood Dr #108, Richardson, TX 75080"
"Firehouse Roofing","(469) 457-2133","","https://firehouseroofing.com/rowlett/","4.9","239","4001 Industrial St, Rowlett, TX 75088"
"Contour Roofing","(214) 494-1388","","https://contourroofingtx.com/","5","32","13537 Vargon St, Dallas, TX 75243"
"D&M Roofing","(469) 360-4173","","http://www.dmroof.com/","1.8","5","792 Skillman Street, Dallas, TX 75234"
"Garland Roofing Co","(972) 278-1711","user@domain.com","http://www.garlandroofing.com/","4.4","24","2607 Industrial Ln, Garland, TX 75041"
"Vertice Roofing & General Contractors, LLC","(972) 799-7075","","https://verticeroofing.com/?utm_source=google-business&utm_medium=organic","5","33","12222 Merit Dr Suite 130, Dallas, TX 75251"
"Pro American Roofing","(945) 340-7256","email@gmail.com; support@proamericanroofing.com","https://proamericanroofing.com/","4.9","165","226 Commercial St, Garland, TX 75040"
"Concord Roofing & Construction","(214) 299-6110","info@concordroofingtx.com","https://concordroofingtx.com/","4.9","94","801 K Ave #14, Plano, TX 75074"
"Dynamic Roofing General Contractor LLC","(972) 449-9336","","https://dynroofing.com/","4.9","136","6829 K Ave #101, Plano, TX 75074"
"Texas Star Roofing Inc","(972) 509-7570","","https://www.texasstarroofing.com/","4.9","137","1000 18th Pl, Plano, TX 75074"
"drommer roofing dallas","(682) 452-6504","","","5","16","9202 Markville Dr ste 1a, Dallas, TX 75243"
"Shepherd Commercial Roofing","(214) 664-9587","","https://www.shepherdcommercialroofing.com/","5","17","8080 N Central Expy # 1700, Dallas, TX 75206"
"Arrington Roofing","(214) 698-8443","info@arringtonroofing.com; you@domain.com","https://arringtonroofing.com/?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing","4.9","347","2203 Obenchain St, Dallas, TX 75208"
"Arapaho Roofing and Residential","(972) 707-2700","","","4.6","29","1350 E Arapaho Rd # 212, Richardson, TX 75081"
"Myriad Roofing & Construction LLC","(214) 417-9144","","","5","44","6060 N Central Expy Suite: 500, Dallas, TX 75206"
"Mac Roofing & Construction","(469) 688-3468","macroofing321@gmail.com","http://macroofingdallas.com/","5","2","2329 Anita Dr, Mesquite, TX 75149"
"Scott Exteriors","(214) 503-7663","","https://www.scottexteriors.com/","4.3","74","10561 New Church Rd, Dallas, TX 75238"
"American Homes Roofing","(972) 765-8334","","https://americanhomesroofing.net/Contact-Us","4.7","50","1910 Pacific Ave Suite #8020, Dallas, TX 75201"
"Blue Hammer Roofing","(469) 564-8357","","https://bluehammerroofing.com/areas-served/dallas/?utm_campaign=gmb&utm_medium=organic&utm_source=google","4.9","1290","8330 Lyndon B Johnson Fwy B604, Dallas, TX 75243"
"Benchmark Roofing & Construction","(972) 231-0794","","http://www.bmrac.com/","5","11","675 Town Square Blvd BLDG 1A STE 200, Garland, TX 75040"
"Capitol Roofing & Construction LLC","(972) 474-8955","","https://www.capitolrcllc.com/","4.9","110","2806 Lawing Ln Suite B, Rowlett, TX 75088"
"Empire Roofing and Solar LLC","(972) 379-9769","","https://empireroofing-solar.com/","4.8","113","8330 Lyndon B Johnson Fwy Suite 490, Dallas, TX 75243"
"Wilco Contractors","(214) 453-3600","","https://wilcoroofing.com/","4.9","87","4019 N Galloway Ave Suite A, Mesquite, TX 75150"
"Spyder Roofing","(972) 707-1875","","https://www.spyderroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-garland&utm_content=website","5","119","517 S Garland Ave, Garland, TX 75040"
"Eclat Roofing","(214) 373-1500","","https://www.eclatroofing.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing","4.8","25","6211 W Northwest Hwy ste c253 c/d, Dallas, TX 75225"
"Roof Repair Dallas Masters","(469) 807-7850","","https://roofrepairdallasmasters.com/","5","56","13111 N Central Expy #913, Dallas, TX 75243"
"Lunaroofing and construction llc","(903) 944-6509","","http://www.lunaroofingandconstructionllc.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=17629334135841526053","5","23","418 S Yale Dr, Garland, TX 75042"
"Storm Roofing Heroes Dallas","(214) 809-8078","","https://stormroofingheroes.com/","5","51","7112 Radcliff Dr, Dallas, TX 75227"
"Lon Smith Roofing","(214) 221-1400","info@lonsmith.com","https://www.lonsmith.com/","4.6","113","10821 Sanden Dr, Dallas, TX 75238"
"Scottie Ballantyne Roofing Inc.","(972) 279-8857","","https://ballantyneroofing.com/","5","3","2610 Oakland St, Garland, TX 75041"
"JNT Construction","(972) 885-5053","Info@JNTConstruct.com","https://www.jntconstruct.com/","4.4","153","10860 Switzer Ave Suite 114, Dallas, TX 75238"
